"","qpcr_well","ID","Cycle"
"1","A01","FH.EC-01",33
"2","A02","FH.EC-02",37
"3","A03","FH.EC-03",32
"4","A04","FH.EC-04",32
"5","A05","FH.EC-05",29
"6","A06","FH.EC-06",32
"7","A07","FH.EC-07",30
"8","A08","FH.EC-08",34
"9","A09","FH.EC-09",30
"10","A10","FH.EC-10",30
"11","A11","FH.EC-11",31
"12","A12","FH.EC-12",31
"13","B01","FH.EC-13",30
"14","B02","FH.EC-14",30
"15","B03","FZ.EC-01",29
"16","B04","FZ.EC-02",29
"17","B05","FZ.EC-03",30
"18","B06","FZ.EC-04",28
"19","B07","FZ.EC-05",30
"20","B08","FZ.EC-06",31
"21","B09","FZ.EC-07",30
"22","B10","FZ.EC-08",30
"23","B11","FZ.EC-09",37
"24","B12","FZ.EC-10",30
"25","C01","FZ.EC-11",36
"26","C02","FZ.EC-12",33
"27","C03","FZ.EC-13",28
"28","C04","FZ.EC-14",36
"29","C05","FZ.EC-15",31
"30","C06","FH.CA-01",32
"31","C07","FH.CA-02",33
"32","C08","FH.CA-03",31
"33","C09","FH.CA-04",33
"34","C10","FH.CA-05",28
"35","C11","FH.CA-06",31
"36","C12","FH.CA-07",34
"37","D01","FH.CA-08",31
"38","D02","FZ.CA-01",36
"39","D03","FZ.CA-02",30
"40","D04","FZ.CA-03",29
"41","D05","FZ.CA-04",30
"42","D06","FZ.CA-05",29
"43","D07","FZ.CA-06",30
"44","D08","FZ.CA-07",34
"45","D09","FZ.CA-08",30
"46","D10","blank",31
"47","D11","blank",37
